3.949686480872332400e-02,1.680112510723993369e-01,2.182100005783140784e-01
2.188906271648593249e-01,3.098312527928501203e-01,1.246981238517910207e-01
4.236218701642938123e-01,2.227500008144416288e-01,1.745631145373918169e-01
2.138656297023407427e-01,4.001143720271065907e-01,4.809962477127556202e-01
6.136812245845793545e-02,1.550193704720586596e-01,1.113231246955692783e-01
1.380033127966336925e+00,1.722276850811671256e+00,1.973618708843830838e+00
9.317456138953567057e-01,1.216771850125864196e+00,1.866734957071021217e+00
1.372637457577512432e-01,3.182556293276137538e-01,2.697968650534749990e-01
8.659943579486572007e-01,1.266280614501796631e+00,1.378228745497763086e+00
1.186978075164836000e+00,1.861403068508487468e+00,2.197232460465282422e+00
4.431624844083563719e-01,4.919206135054117190e-01,5.988718658401630535e-01
5.887931064455769192e-01,5.013362356824799804e-01,5.468712319950572720e-01
